Index,X,Y,Z
151,1079045.94,-4853355.90,3981836.35
152,1079045.92,-4853355.93,3981836.32
153,1079045.95,-4853355.95,3981836.29
154,1079045.95,-4853355.97,3981836.27
155,1079045.95,-4853355.99,3981836.23
156,1079045.95,-4853356.00,3981836.22
157,1079045.98,-4853356.02,3981836.19
158,1079045.98,-4853356.05,3981836.16
159,1079045.99,-4853356.08,3981836.12
160,1079046.01,-4853356.11,3981836.08
161,1079046.02,-4853356.23,3981836.09
162,1079046.02,-4853356.24,3981836.06
163,1079046.03,-4853356.27,3981836.04
164,1079046.04,-4853356.29,3981836.01
165,1079046.05,-4853356.30,3981835.99
166,1079046.09,-4853356.30,3981835.98
167,1079046.13,-4853356.30,3981835.98
168,1079046.14,-4853356.23,3981835.90
169,1079046.20,-4853356.22,3981835.89
170,1079046.24,-4853356.23,3981835.88
171,1079046.27,-4853356.23,3981835.86
172,1079046.34,-4853356.23,3981835.84
173,1079046.34,-4853356.24,3981835.83
174,1079046.34,-4853356.16,3981835.77
175,1079046.34,-4853356.16,3981835.77
176,1079046.31,-4853356.09,3981835.70
177,1079046.33,-4853356.05,3981835.73
178,1079046.34,-4853356.05,3981835.75
179,1079046.33,-4853355.95,3981835.71
180,1079046.32,-4853355.92,3981835.74
181,1079046.32,-4853355.90,3981835.77
182,1079046.31,-4853355.88,3981835.80
183,1079046.29,-4853355.84,3981835.84
184,1079046.26,-4853355.83,3981835.88
185,1079046.23,-4853355.81,3981835.90
186,1079046.18,-4853355.80,3981835.93
187,1079046.14,-4853355.77,3981835.98
188,1079046.11,-4853355.74,3981836.02
189,1079046.07,-4853355.71,3981836.06
190,1079046.04,-4853355.70,3981836.09
191,1079046.15,-4853355.46,3981836.34
192,1079046.22,-4853355.20,3981836.48
193,1079046.26,-4853355.15,3981836.70
194,1079046.56,-4853355.06,3981836.55
195,1079046.66,-4853354.97,3981836.48
196,1079046.67,-4853354.96,3981836.34
197,1079046.68,-4853355.01,3981836.27
198,1079046.70,-4853354.94,3981836.20
199,1079046.73,-4853354.94,3981836.18
200,1079046.77,-4853354.95,3981836.17
201,1079046.78,-4853354.93,3981836.18
202,1079046.83,-4853354.93,3981836.17
203,1079046.88,-4853354.97,3981836.11
204,1079046.90,-4853354.98,3981836.09
205,1079046.83,-4853355.05,3981836.02
206,1079046.71,-4853354.99,3981835.96
207,1079046.65,-4853355.03,3981835.93
208,1079046.54,-4853355.02,3981835.98
209,1079046.46,-4853355.07,3981836.09
210,1079046.38,-4853355.06,3981836.13
211,1079046.34,-4853355.14,3981836.20
212,1079046.30,-4853355.25,3981836.23
213,1079046.30,-4853355.36,3981836.27
214,1079046.27,-4853355.42,3981836.36
215,1079046.23,-4853355.43,3981836.36
216,1079046.22,-4853355.50,3981836.44
217,1079046.22,-4853355.59,3981836.48
218,1079046.21,-4853355.69,3981836.54
219,1079046.20,-4853355.66,3981836.56
220,1079046.16,-4853355.69,3981836.55
221,1079046.10,-4853355.79,3981836.60
222,1079046.06,-4853355.80,3981836.60
223,1079046.04,-4853355.91,3981836.63
224,1079045.98,-4853355.94,3981836.60
225,1079046.00,-4853356.08,3981836.59
226,1079046.01,-4853356.11,3981836.55
227,1079045.98,-4853356.07,3981836.45
228,1079045.91,-4853356.02,3981836.37
229,1079045.84,-4853356.02,3981836.38
230,1079045.80,-4853356.05,3981836.37
231,1079045.73,-4853355.99,3981836.29
232,1079045.67,-4853355.94,3981836.21
233,1079045.62,-4853355.93,3981836.24
234,1079045.53,-4853355.95,3981836.24
235,1079045.46,-4853356.04,3981836.30
236,1079045.38,-4853356.07,3981836.29
237,1079045.35,-4853356.08,3981836.29
238,1079045.34,-4853356.08,3981836.29
239,1079045.36,-4853356.10,3981836.27
240,1079045.33,-4853356.04,3981836.19
241,1079045.39,-4853356.14,3981836.20
242,1079045.42,-4853356.13,3981836.20
243,1079045.50,-4853356.21,3981836.25
244,1079045.52,-4853356.19,3981836.27
245,1079045.54,-4853356.26,3981836.34
246,1079045.55,-4853356.36,3981836.38
247,1079045.58,-4853356.43,3981836.44
248,1079045.55,-4853356.45,3981836.43
249,1079045.57,-4853356.53,3981836.48
250,1079045.59,-4853356.51,3981836.51
251,1079045.59,-4853356.53,3981836.48
252,1079045.57,-4853356.55,3981836.46
253,1079045.55,-4853356.56,3981836.45
254,1079045.49,-4853356.56,3981836.46
255,1079045.36,-4853356.45,3981836.48
256,1079045.21,-4853356.31,3981836.52
257,1079045.12,-4853356.27,3981836.59
258,1079044.98,-4853356.24,3981836.66
259,1079044.94,-4853356.23,3981836.70
260,1079044.86,-4853356.13,3981836.67
261,1079044.84,-4853356.13,3981836.69
262,1079044.78,-4853356.10,3981836.73
263,1079044.72,-4853356.04,3981836.67
264,1079044.69,-4853356.03,3981836.69
265,1079044.72,-4853356.05,3981836.66
266,1079044.75,-4853356.17,3981836.66
267,1079044.76,-4853356.21,3981836.60
268,1079044.81,-4853356.33,3981836.61
269,1079044.85,-4853356.41,3981836.66
270,1079044.91,-4853356.52,3981836.68
271,1079045.01,-4853356.66,3981836.79
272,1079045.10,-4853356.75,3981836.82
273,1079045.22,-4853356.88,3981836.95
274,1079045.36,-4853357.13,3981837.09
275,1079045.50,-4853357.20,3981837.13
276,1079045.60,-4853357.27,3981837.17
277,1079045.64,-4853357.31,3981837.27
278,1079045.66,-4853357.37,3981837.36
279,1079045.66,-4853357.36,3981837.36
280,1079045.68,-4853357.44,3981837.42
281,1079045.71,-4853357.43,3981837.42
282,1079045.71,-4853357.45,3981837.41
283,1079045.75,-4853357.53,3981837.45
284,1079045.78,-4853357.53,3981837.44
285,1079045.86,-4853357.52,3981837.44
286,1079045.92,-4853357.52,3981837.43
287,1079045.96,-4853357.55,3981837.37
288,1079046.03,-4853357.66,3981837.38
289,1079046.09,-4853357.74,3981837.26
290,1079046.11,-4853357.83,3981837.16
291,1079046.13,-4853357.89,3981837.07
292,1079046.14,-4853357.97,3981836.97
293,1079046.11,-4853357.95,3981836.85
294,1079046.08,-4853357.95,3981836.87
295,1079046.08,-4853357.95,3981836.87
296,1079045.98,-4853357.86,3981836.83
297,1079045.94,-4853357.84,3981836.88
298,1079045.88,-4853357.85,3981836.88
299,1079045.83,-4853357.77,3981836.83
300,1079045.84,-4853357.77,3981836.81
301,1079045.87,-4853357.80,3981836.78
302,1079045.90,-4853357.82,3981836.74
303,1079045.91,-4853357.86,3981836.70
304,1079045.91,-4853357.91,3981836.63
305,1079045.86,-4853357.96,3981836.58
306,1079045.84,-4853357.98,3981836.56
307,1079045.78,-4853357.95,3981836.61
308,1079045.80,-4853357.94,3981836.63
309,1079045.82,-4853357.91,3981836.65
310,1079045.84,-4853357.80,3981836.63
311,1079045.88,-4853357.77,3981836.65
312,1079045.88,-4853357.66,3981836.63
313,1079045.94,-4853357.63,3981836.64
314,1079045.98,-4853357.67,3981836.59
315,1079046.05,-4853357.69,3981836.54
316,1079046.06,-4853357.73,3981836.48
317,1079046.05,-4853357.73,3981836.50
318,1079046.00,-4853357.71,3981836.52
319,1079045.88,-4853357.74,3981836.52
320,1079045.80,-4853357.83,3981836.60
321,1079045.71,-4853357.77,3981836.69
322,1079045.64,-4853357.80,3981836.84
323,1079045.58,-4853357.84,3981836.96
324,1079045.52,-4853357.82,3981837.00
325,1079045.44,-4853357.87,3981837.13
326,1079045.39,-4853357.86,3981837.15
327,1079045.32,-4853357.80,3981837.09
328,1079045.27,-4853357.78,3981837.12
329,1079045.25,-4853357.76,3981837.15
330,1079045.20,-4853357.77,3981837.16
331,1079045.19,-4853357.75,3981837.18
332,1079045.22,-4853357.82,3981837.24
333,1079045.26,-4853357.79,3981837.27
334,1079045.24,-4853357.77,3981837.30
335,1079045.23,-4853357.71,3981837.22
336,1079045.28,-4853357.70,3981837.20
337,1079045.34,-4853357.70,3981837.19
338,1079045.43,-4853357.69,3981837.19
339,1079045.52,-4853357.68,3981837.18
340,1079045.61,-4853357.70,3981837.13
341,1079045.67,-4853357.70,3981837.10
342,1079045.79,-4853357.71,3981837.06
343,1079045.91,-4853357.61,3981837.00
344,1079045.99,-4853357.61,3981836.97
345,1079046.05,-4853357.63,3981836.94
346,1079046.11,-4853357.63,3981836.93
347,1079046.11,-4853357.63,3981836.93
348,1079046.08,-4853357.63,3981836.93
349,1079046.04,-4853357.64,3981836.93
350,1079045.98,-4853357.64,3981836.94
351,1079045.91,-4853357.71,3981837.03
352,1079045.86,-4853357.70,3981837.06
353,1079045.79,-4853357.66,3981837.12
354,1079045.76,-4853357.65,3981837.15
355,1079045.73,-4853357.63,3981837.18
356,1079045.72,-4853357.68,3981837.28
357,1079045.76,-4853357.71,3981837.39
358,1079045.80,-4853357.68,3981837.41
359,1079045.86,-4853357.64,3981837.45
360,1079045.93,-4853357.62,3981837.46
361,1079046.02,-4853357.61,3981837.45
362,1079046.07,-4853357.59,3981837.45
363,1079046.05,-4853357.53,3981837.37
364,1079046.04,-4853357.57,3981837.33
365,1079046.07,-4853357.59,3981837.30
366,1079046.13,-4853357.59,3981837.27
367,1079046.16,-4853357.64,3981837.21
368,1079046.19,-4853357.58,3981837.12
369,1079046.22,-4853357.59,3981837.09
370,1079046.20,-4853357.53,3981837.02
371,1079046.18,-4853357.55,3981837.00
372,1079046.17,-4853357.45,3981836.96
373,1079046.16,-4853357.48,3981836.92
374,1079046.16,-4853357.48,3981836.92
375,1079046.16,-4853357.43,3981836.83
376,1079046.12,-4853357.53,3981836.88
377,1079046.10,-4853357.53,3981836.88
378,1079046.08,-4853357.62,3981836.94
379,1079046.08,-4853357.69,3981837.02
380,1079046.07,-4853357.70,3981837.00
381,1079046.09,-4853357.79,3981837.05
